seqnames	start	end	width	strand	peak	feature	feature.ranges.start	feature.ranges.end	feature.ranges.width	feature.strand	distance	insideFeature	distanceToSite	symbol
chr1	762042	762071	30	*	X00001	643837	762971	794826	31856	+	899	upstream	899	LINC01128
chr1	762937	763086	150	*	X00002	643837	762971	794826	31856	+	0	overlapStart	0	LINC01128
chr1	762937	763086	150	*	X00002	79854	761586	762902	1317	-	34	upstream	34	LINC00115
chr1	860270	860419	150	*	X00006	148398	860530	879961	19432	+	110	upstream	110	SAMD11
chr1	894601	894720	120	*	X00015	339451	895967	901099	5133	+	1246	upstream	1246	KLHL17
chr1	894601	894720	120	*	X00015	26155	879583	894679	15097	-	0	overlapStart	0	NOC2L
chr1	895441	896055	615	*	X00016	339451	895967	901099	5133	+	0	overlapStart	0	KLHL17
chr1	895441	896055	615	*	X00016	26155	879583	894679	15097	-	761	upstream	761	NOC2L
chr1	901352	901408	57	*	X00017	84069	901877	910484	8608	+	468	upstream	468	PLEKHN1
chr1	936696	936994	299	*	X00024	57801	934342	935552	1211	-	1143	upstream	1143	HES4
chr1	948638	948742	105	*	X00025	9636	948847	949919	1073	+	104	upstream	104	ISG15
chr1	954906	954958	53	*	X00026	375790	955503	991499	35997	+	544	upstream	544	AGRN
chr1	955319	955471	153	*	X00027	375790	955503	991499	35997	+	31	upstream	31	AGRN
chr1	1051311	1051445	135	*	X00043	54991	1017198	1051736	34539	-	0	inside	290	C1orf159
chr1	1052286	1052511	226	*	X00044	54991	1017198	1051736	34539	-	549	upstream	549	C1orf159
chr1	1209338	1209599	262	*	X00050	118424	1189292	1209234	19943	-	103	upstream	103	UBE2J2
chr1	1209863	1209967	105	*	X00051	118424	1189292	1209234	19943	-	628	upstream	628	UBE2J2
chr1	1242550	1242654	105	*	X00053	126789	1243994	1247057	3064	+	1339	upstream	1339	PUSL1
chr1	1243000	1243089	90	*	X00054	126789	1243994	1247057	3064	+	904	upstream	904	PUSL1
chr1	1243195	1243314	120	*	X00055	126789	1243994	1247057	3064	+	679	upstream	679	PUSL1
chr1	1244950	1245054	105	*	X00057	116983	1227764	1244989	17226	-	0	overlapStart	0	ACAP3
chr1	1259231	1259500	270	*	X00058	80772	1260143	1264276	4134	+	642	upstream	642	CPTP
chr1	1259515	1259709	195	*	X00059	80772	1260143	1264276	4134	+	433	upstream	433	CPTP
chr1	1260131	1260265	135	*	X00060	80772	1260143	1264276	4134	+	0	overlapStart	0	CPTP
chr1	1260131	1260265	135	*	X00060	54973	1246965	1260067	13103	-	63	upstream	63	INTS11
chr1	1260310	1260414	105	*	X00061	80772	1260143	1264276	4134	+	0	inside	166	CPTP
chr1	1260310	1260414	105	*	X00061	54973	1246965	1260067	13103	-	242	upstream	242	INTS11
chr1	1284445	1284594	150	*	X00067	1855	1270658	1284492	13835	-	0	overlapStart	0	DVL1
chr1	1285344	1285463	120	*	X00068	1855	1270658	1284492	13835	-	851	upstream	851	DVL1
chr1	1334266	1334385	120	*	X00071	148413	1334910	1337426	2517	+	524	upstream	524	MRPL20-AS1
chr1	1335755	1335874	120	*	X00072	81669	1321091	1334718	13628	-	1036	upstream	1036	CCNL2
chr1	1370992	1371096	105	*	X00077	64856	1370903	1378262	7360	+	0	inside	88	VWA1
chr1	1446979	1447098	120	*	X00080	55210	1447523	1470067	22545	+	424	upstream	424	ATAD3A
chr1	1535595	1535729	135	*	X00082	643988	1533388	1535476	2089	-	118	upstream	118	FNDC10
chr1	1822775	1823044	270	*	X00090	2782	1716725	1822526	105802	-	248	upstream	248	GNB1
chr1	1823165	1823299	135	*	X00091	2782	1716725	1822526	105802	-	638	upstream	638	GNB1
chr1	1850715	1850864	150	*	X00094	339456	1849029	1850740	1712	-	0	overlapStart	0	TMEM52
chr1	1850880	1850903	24	*	X00095	339456	1849029	1850740	1712	-	139	upstream	139	TMEM52
chr1	1850980	1851119	140	*	X00096	339456	1849029	1850740	1712	-	239	upstream	239	TMEM52
chr1	1950708	1950741	34	*	X00097	2563	1950768	1962192	11425	+	26	upstream	26	GABRD
chr1	1950920	1951009	90	*	X00098	2563	1950768	1962192	11425	+	0	inside	151	GABRD
chr1	1981357	1981416	60	*	X00099	5590	1981909	2116834	134926	+	492	upstream	492	PRKCZ
chr1	1981622	1981831	210	*	X00100	5590	1981909	2116834	134926	+	77	upstream	77	PRKCZ
chr1	1982182	1982331	150	*	X00101	5590	1981909	2116834	134926	+	0	inside	272	PRKCZ
chr1	2159674	2159705	32	*	X00109	6497	2160134	2241652	81519	+	428	upstream	428	SKI
chr1	2323483	2323752	270	*	X00115	11079	2323214	2336885	13672	+	0	inside	268	RER1
chr1	2323483	2323752	270	*	X00115	79906	2252696	2322993	70298	-	489	upstream	489	MORN1
chr1	2343694	2343783	90	*	X00117	5192	2336241	2344010	7770	-	0	inside	226	PEX10
chr1	2344174	2344263	90	*	X00118	5192	2336241	2344010	7770	-	163	upstream	163	PEX10
chr1	2344909	2345028	120	*	X00119	5192	2336241	2344010	7770	-	898	upstream	898	PEX10
chr1	2457713	2457877	165	*	X00125	55229	2439975	2458035	18061	-	0	inside	157	PANK4
chr1	2517495	2517614	120	*	X00130	127281	2517899	2522908	5010	+	284	upstream	284	PRXL2B
chr1	2518110	2518379	270	*	X00131	127281	2517899	2522908	5010	+	0	inside	210	PRXL2B
chr1	2985039	2985263	225	*	X00136	63976	2985742	3355185	369444	+	478	upstream	478	PRDM16
chr1	2985039	2985263	225	*	X00136	440556	2976181	2984289	8109	-	749	upstream	749	PRDM16-DT
chr1	2985534	2985653	120	*	X00137	63976	2985742	3355185	369444	+	88	upstream	88	PRDM16
chr1	2985534	2985653	120	*	X00137	440556	2976181	2984289	8109	-	1244	upstream	1244	PRDM16-DT
chr1	3371070	3371189	120	*	X00140	27237	3371147	3397677	26531	+	0	overlapStart	0	ARHGEF16
